question,a,b,c,d,e,answer,split
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:아이유가 발표한 노래 25에 피처링한 아티스트,지드래곤,슈가,유인나,박재범,임슬옹,a,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:레드벨벳의 공식 데뷔 후 추가된 멤버,웬디,슬기,조이,아이린,예리,e,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:블랙핑크의 뮤직비디오 중 유튜브에서 가장 높은 조회수를 기록한 뮤직비디오는 [BLANK]입니다.,Kill This Love,뚜두뚜두,Pink Venom,불장난,마지막처럼,b,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:아이콘의 응원봉 공식 이름은 [BLANK]입니다.,아미밤,캐럿봉,콘배트,에리디봉,샤팅스타,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:완전 흑백으로 촬영된 위너 뮤직비디오는 [BLANK]입니다.,ISLAND,공허해,끼부리지마,Really Really,LOVE ME LOVE ME,d,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:MAMA 2010에서 '올해의 아티스트' 수상,슈퍼주니어,엔믹스,2NE1,아이브,뉴진스,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:2022년 기준 KOMCA 노래 크레딧이 가장 많은 K-Pop 아티스트,우지,라비,후이,JB,방찬,b,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:퀸덤의 두 번째 시즌에서 우승한 그룹,마마무,효린,우주소녀,이달의소녀,베리베리,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:그룹 세븐틴의 멤버는 [BLANK]명 입니다.,10,12,13,8,9,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:ATEEZ의 막내,홍중,산,종호,윤호,우영,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:글로리아 게이너의 '아이 윌 서바이브'를 샘플링한 IVE 노래는 [BLANK]입니다.,Love Dive,After Like,Kitsch,Eleven,I AM,b,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:K-Pop 아티스트가 도쿄 돔에서 공연하도록 초대받은 최초의 인물,블랙핑크,빅뱅,비,엑소,방탄,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:샤이니의 '리플레이' 뮤직비디오에 등장하는 f(x) 멤버,크리스탈,엠버,아이린,빅토리아,슬기,d,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:BtoB 멤버 중 최초로 솔로 데뷔를 한 멤버,육성재,서은광,이창섭,임현식,이민혁,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:던던' 뮤직비디오에 가장 먼저 등장하는 에버글로우 멤버,아샤,이렌,시현,미아,온다,b,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:많은 K-Pop 아이돌들이 멀티 스포츠 경기에 출전하는 TV 프로그램의 이름은 [BLANK]입니다.,주간아이돌,아이돌룸,아이돌 스타 육상 선수권 대회(ISAC),전지적 참견시점,아는형님,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:2014년 MMA에서 '올해의 노래상'을 수상한 아티스트,태양,세븐틴,엑소,소녀시대,슈퍼주니어,a,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:아스트로 팬클럽의 공식 색상은 [BLANK]입니다.,펄블랙,펄버건디,스페이스 바이올렛 & 비비드 플럼,플레임 오렌지,아주르 & 에메랄드,c,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:버라이어티 쇼 주간 아이돌에 처음 출연한 아이돌 그룹,틴탑,인피니트,동방신기,블락비,유키스,b,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:2020년 뮤직뱅크 공연 당시 00z 라인이 커버한 곡은 [BLANK]입니다.,아이스크림케이크,행복,Psyco,빨간맛,Feel My Rhythm,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:NCT의 서브 유닛은 [BLANK]개 입니다.,1,2,3,4,5,d,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:K-pop 아티스트 중 미국 빌보드 핫 100에 처음으로 등장한 그룹,비스트,엠블랙,원더걸스,소녀시대,아이유,c,KGK
"보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:하이라이트는 2016년에 회사를 옮기면서 그룹의 이름을 바꿨으며, 원래 그룹명은 [BLANK]입니다.",틴탑,비스트,씨엔블루,멜로망스,포스트맨,b,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:2013년 데뷔한 폴라리스 엔터테인먼트의 걸그룹 이름은?,스테이씨,볼빨간사춘기,레이디스 코드,EXID,애프터스쿨,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:K-Pop 아이돌 그룹은 현재  [BLANK] 세대까지 존재합니다.,1,2,3,4,5,d,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:그룹활동을 한 적이 없는 걸스 온 탑 멤버,효연,태연,보아,윈터,슬기,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:멤버의 팬캠 중 하나가 입소문이 난 후 EXID가 해체되는 것을 막아준 곡은 [BLANK]입니다.,우주를 줄게,Marry Me,롤린,위 아래,Timeless,d,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:2021년 이전에 발표된 한국 뮤직비디오 중 유튜브에서 가장 높은 조회수를 기록하는 K-Pop 뮤직비디오는 [BLANK]입니다.,불타오르네,마지막처럼,강남스타일,TT,뚜두뚜두,c,KGK
다음 중 봉준호 감독의 작품이 아닌 것은? ### 참고:nan,기생충,해무,헤어질 결심,마더,도쿄!,c,KGK
다음 중 16부작 드라마인 것은? ### 참고:nan,상속자들,W (더블유),피노키오,꽃보다 남자,닥터스,b,KGK
다음 중 넷플릭스 오리지널 콘텐츠가 아닌 것은? ### 참고:nan,보건교사 안은영,수리남,더 글로리,마이 네임,안나,e,KGK
다음 중 백상예술대상 영화부문 작품상을 수상하지 않은 것은? ### 참고:nan,태극기 휘날리며,모가디슈,삼진그룹 영어토익반,헤어질 결심,변호인,d,KGK
다음 중 시즌제가 아닌 것은? ### 참고:nan,달의 연인 - 보보경심 려,낭만닥터 김사부,모범택시,유미의 세포들,경이로운 소문,a,KGK
다음 중 드라마 제목과 채널이 올바르게 연결된 것을 고르시오 ### 참고:nan,닥터 차정숙 - JTBC,최고다 이순신 - SBS,넝쿨째 굴러온 당신 - KBS1,응답하라 1994 - JTBC,미스 함무라비 - tvN,a,KGK
다음 중 천만 관객 돌파한 영화가 아닌 것은? ### 참고:nan,실미도,도둑들,관상,변호인,왕의 남자,c,KGK
다음 중 웹툰을 원작으로 둔 작품이 아닌 것은? ### 참고:nan,치즈인더트랩,냄새를 보는 소녀,스위트홈,지옥,그 해 우리는,e,KGK
다음 중 전지현 배우가 출연하지 않은 영화는? ### 참고:nan,베를린,내 여자친구를 소개합니다,엽기적인 그녀,8월의 크리스마스,도둑들,d,KGK
다음 중 이종석 배우가 출연하지 않은 드라마는? ### 참고:nan,로맨스는 별책부록,시크릿 가든,학교 2017,피노키오,닥터 이방인,c,KGK
다음 중 개봉 년도가 다른 영화는? ### 참고:nan,국제시장,검은 사제들,베테랑,사도,내부자들,b,KGK
다음 중 방영 년도가 다른 드라마는? ### 참고:nan,갯마을 차차차,나의 해방일지,빅마우스,이상한 변호사 우영우,스물다섯 스물하나,a,KGK
다음 중 배경 시대상이 조선 시대가 아닌 영화는?  ### 참고:nan,공주의 남자,성균관 스캔들,마의,일지매,기황후,e,KGK
다음 중 김은숙 작가의 작품이 아닌 것은? ### 참고:nan,더 글로리,미스터 션샤인,시크릿 가든,시그널,신사의 품격,d,KGK
다음 중 편성 채널이 다른 드라마는? ### 참고:nan,라이프 온 마스,라이브(Live),본 대로 말하라,38사 기동대,미씽: 그들이 있었다,b,KGK
다음 중 극 중 배경이 되는 지역이 다른 영화는? ### 참고:nan,해운대,범죄와의 전쟁 : 나쁜놈들 전성시대,택시운전사,국제시장,변호인,c,KGK
드라마 '낭만닥터 김사부'에서 김사부가 일하는 병원의 이름은? ### 참고:nan,돌담병원,율제병원,강운대병원,율담병원,돌제병원,a,KGK
드라마 '순풍산부인과'는 몇 부작 드라마인가? ### 참고:nan,642부작,652부작,662부작,672부작,682부작,e,KGK
다음 중 태연이 ost를 부른 드라마가 아닌 것은? ### 참고:nan,호텔 델루나,더킹 투하츠,너희들은 포위됐다,도깨비,"그 겨울, 바람이 분다",d,KGK
다음 중 영화 '드림'에 출연하지 않은 배우는? ### 참고:nan,아이유,박보검,박서준,강하늘,이현우,b,KGK
다음 중 시청률이 가장 높았던 드라마는? ### 참고:nan,꽃보다 남자,넝쿨째 굴러온 당신,최고다 이순신,내 딸 서영이,너의 목소리가 들려,d,KGK
다음 중 스포츠 관련 영화가 아닌 것은? ### 참고:nan,국가대표,리바운드,영웅,드림,코리아,c,KGK
다음 중 독립운동을 소재로 한 영화가 아닌 것은? ### 참고:nan,암살,밀정,봉오동 전투,포화 속으로,박열,d,KGK
다음 중 외국 작품을 리메이크한 작품이 아닌 것은? ### 참고:nan,연애의 발견,달의 연인 - 보보경심 려,여왕의 교실,라이프 온 마스,꽃보다 남자,a,KGK
다음 중 러닝타임이 가장 짧은 영화는? ### 참고:nan,씽크홀,엑시트,곡성,다만 악에서 구하소서,헌트,b,KGK
다음 중 '더 글로리'에 나온 대사가 아닌 것은? ### 참고:nan,"""오늘부터 내 꿈은 너야""","""삼촌 결심했다 마음 먹었어 방금""","""넌 모르잖아 알록달록한 세상""","""신이 널 도우면 형벌, 신이 날 도우면 천벌""","""오전엔 되게 예쁘고, 오후엔 겁나 예쁘죠""",e,KGK
다음 중 영화 제목과 대사가 올바르게 연결되지 않은 것을 고르시오. ### 참고:nan,"엽기적인 그녀 - ""견우야! 미안해... 나도 어쩔 수 없는 여자인가봐!!""","박하사탕 - ""나 다시 돌아갈래!!!""","베테랑 - ""호의가 계속되면, 그게 권리인 줄 알아요.""","관상 - ""어찌 내가 왕이 될 상인가?""","말아톤 - ""초원이 다리는 백만불짜리 다리""",c,KGK
다음은 한 영화의 줄거리이다. 이 영화에 관한 설명으로 옳지 않은 것을 고르시오. ### 참고:새 집으로 이사 온 날 밤 정체불명의 괴한들에게 납치된 형 유석. 동생 진석은 형이 납치된 후 매일 밤 환청과 환각에 시달리며 불안해한다. 납치된지 19일째 되는 날 돌아온 유석은 그동안의 모든 기억을 잃었다고 말한다. 하지만 돌아온 뒤로 어딘가 변해버린 유석을 의심하던 진석은 매일 밤 사라지는 형을 쫓던 중 충격적인 사실과 마주하게 되는데... 두 남자의 엇갈린 기억 속 감춰진 살인사건의 진실을 찾아야만 한다!,38회 황금촬영상 시상식에서 심사위원특별상을 수상하였다.,이 영화의 장르는 로맨스이다.,강하늘이 출연한다.,장항준 감독의 작품이다.,2017년에 개봉한 영화이다.,b,KGK
다음은 한 드라마의 소개 문장이다. 이 드라마에 관한 설명으로 옳지 않은 것을 고르시오. ### 참고:인색하고 욕심 많은 유아독존 사장님과 음침하고 눈물 많은 영감 발달 여직원이 무섭지만 슬픈 사연을 지닌 영혼들을 위령하는 로코믹 호러 드라마,18부작 드라마이다.,2013년에 방영한 드라마이다.,"남자주인공은 소지섭이, 여자주인공은 공효진이 연기하였다.",여자주인공은 귀신을 볼 수 있다.,여자주인공은 남자주인공과 닿아있으면 귀신이 보이지 않는다.,a,KGK
드라마 '도깨비'에서 지은탁의 정체로 옳은 것은? ### 참고:nan,도깨비,도깨비 부인,도깨비 신부,저승사자,귀신,c,KGK
다음 자료에서 설명하는 영화로 옳은 것은? ### 참고:• 2013년에 개봉했으며 1000만 관객을 돌파한 영화이다. • 류승룡과 갈소원이 주연 배우이다. • 교도소 7번방이 주 배경이다. ,7년의 밤,7번방의 선물,#살아있다,침묵,서울역,b,KGK
"다음 드라마에 모두 출연한 배우는? ### 참고:(가) 괜찮아, 사랑이야 (나) 주군의 태양 (다) 동백꽃 필 무렵",소지섭,서지혜,조정석,공효진,조인성,d,KGK
다음 영화에 모두 출연한 배우는? ### 참고:(가) 클래식 (나) 암살 (다) 타짜,전지현,이정재,김혜수,손예진,조승우,e,KGK
"다음은 한 영화에 대한 소개이다. 이 영화에서 다루는 사건으로 옳은 것은? ### 참고:택시운전사 만섭(송강호)은 외국손님을 태우고 광주에 갔다 통금 전에 돌아오면 밀린 월세를 갚을 수 있는 거금 10만원을 준다는 말에 독일기자 피터(토마스 크레취만)를 태우고 영문도 모른 채 길을 나선다. 광주 그리고 사람들. “모르겄어라, 우덜도 우덜한테 와 그라는지…” 어떻게든 택시비를 받아야 하는 만섭의 기지로 검문을 뚫고 겨우 들어선 광주. 위험하니 서울로 돌아가자는 만섭의 만류에도 피터는 대학생 재식(류준열)과 황기사(유해진)의 도움 속에 촬영을 시작한다. 그러나 상황은 점점 심각해지고 만섭은 집에 혼자 있을 딸 걱정에 점점 초조해지는데…",6월 민주항쟁,5·18광주민주화운동,광주학생항일운동,4·19혁명,6·10 만세운동,b,KGK
다음은 2012년과 2013년에 방영된 KBS2 주말드라마이다.  (가)~(다)의 방영 순서를 올바르게 나열한 것은?  ### 참고:(가) 내 딸 서영이  (나) 넝쿨째 굴러온 당신 (다) 최고다 이순신,(가)-(나)-(다),(가)-(다)-(나),(나)-(가)-(다),(나)-(다)-(가),(다)-(가)-(나),c,KGK
다음 인물들의 극 중 관계로 옳은 것은? ### 참고:(가) 슬기로운 의사생활 이익준/이익순  (나) 일타스캔들 남행선/남재우 (다) 슬기로운 감빵생활 제혁/제희,남매,선배와 후배,연인,스승과 제자,원수,a,KGK
다음 중 '도둑들' 출연하지 않은 배우는? ### 참고:nan,전지현,김윤석,이신영,김혜수,김수현,c,KGK
드라마 '응답하라 1988'에 대한 설명으로 옳지 않은 것을 고르시오. ### 참고:nan,쌍문동을 배경으로 한다.,정환의 아버지는 쌍문고등학교의 학생주임이다.,덕선이는 언니와 남동생이 있다.,"어남택, 어남류 등의 유행어가 있었다.",택이는 바둑 기사이다.,b,KGK
"다음 대사가 나온 영화를 고르시오.  ### 참고:""가장 완벽한 계획이 뭔지 알아? 무계획이야. 계획을 하면 모든 계획이 다 계획대로 되지 않는 게 인생이거든.""",헤어질 결심,극한직업,완벽한 타인,독전,기생충,e,KGK
"다음 두 영화의 공통 소재로 옳은 것은? ### 참고:부산행, #살아있다",지진,쓰나미,좀비,전염병,방사능,c,KGK
낭만닥터 김사부' 시리즈에 대한 설명으로 옳지 않은 것을 고르시오. ### 참고:nan,시즌1의 여주인공과 시즌2의 여주인공은 같다.,시즌2의 여주인공과 시즌3의 여주인공은 같다.,김사부는 트리플 보드이다.,김사부의 진짜 이름은 부용주이다.,양세종은 시즌2에 도인범 역으로 특별출연하였다.,a,KGK
"다음은 한 영화의 명대사이다. 이 영화에 대한 설명으로 옳지 않은 것을 고르시오. ### 참고:""지금까지 이런 맛은 없었다. 이것은 갈비인가. 통닭인가? 네, 수원 왕갈비 통닭입니다.""",이 영화의 러닝타임은 111분이다.,1000만 관객을 돌파한 영화이다.,경찰 마약반이 위장수사를 하기 위해 치킨집을 운영하는 내용이다.,2019년 1월 20일에 개봉하였다.,이병헌 감독의 작품이다.,d,KGK
다음 중 옳은 선택지를 고르시오. ### 참고:nan,닥터 차정숙은 tvN에서 방영하는 드라마이다.,닥터 차정숙의 서인호는 가정의학과 교수이다.,닥터 차정숙의 첫방송 날짜는 2023년 4월 15일이다.,일타 스캔들은 JTBC에서 방영된 드라마이다.,일타 스캔들의 최치열은 영어 일타강사이다.,c,KGK
다음 중 옳은 선택지를 고르시오. ### 참고:nan,영화 공조는 시즌1까지 있다.,영화 공조에는 소녀시대 유리가 출연한다.,영화 공조에서 현빈이 맡은 임철령은 남한형사이다.,영화 럭키에서 유해진이 맡은 형욱은 킬러이다.,영화 럭키는 2015년에 개봉했다.,d,KGK
다음 중 옳은 선택지를 고르시오. ### 참고:nan,사랑의 불시착은 2020년에 첫방영하였다.,사랑의 불시착의 여자 주인공은 패러들라이딩 사고로 북한에 불시착하였다.,사랑의 불시착은 20부작 드라마이다.,질투의 화신은 20부작 드라마이다.,질투의 화신 여자주인공 이름은 화신이다.,b,KGK
다음 중 옳은 선택지를 고르시오. ### 참고:nan,건축학개론의 러닝타임은 120분이다.,건축학개론에서 납뜩이는 여자주인공의 친구이다.,건축학개론에서 한가인과 수지는 다른 인물을 연기한다.,엑시트는 제 55회 백상예술대상에서 영화 시나리오상을 받았다.,엑시트의 용남과 의주는 산악 동아리에서 알게된 사이이다.,e,KGK
다음 중 옳은 선택지를 고르시오. ### 참고:nan,SKY 캐슬은 JTBC에서 방영된 드라마이다.,SKY 캐슬은 2017년에 방영되었다.,SKY 캐슬의 강예서와 어쩌다 발견한 하루의 은단오는 같은 배우이다.,어쩌다 발견한 하루는 16부작 드라마이다.,어쩌다 발견한 하루의 원작인 웹툰 제목은 어쩌다 발견한 6월이다.,a,KGK
다음 중 옳지 않은 선택지를 고르시오. ### 참고:nan,7년의 밤은 2018년에 개봉한 영화이다.,7년의 밤은 동명 소설을 원작으로 한다.,명량은 2013년에 개봉한 영화이다.,명량은 김한민 감독의 작품이다.,명량은 이순신 장군에 관한 영화이다.,c,KGK
다음 중 옳지 않은 선택지를 고르시오. ### 참고:nan,수상한 그녀의 심은경 배우와 나문희 배우는 같은 인물을 연기한다.,수상한 그녀는 2014년에 개봉한 영화이다.,수상한 그녀는 1000만 관객을 돌파한 영화이다.,아이 캔 스피커의 러닝타임은 119분이다.,아이 캔 스피크에는 이제훈이 출연한다.,c,KGK
다음 중 옳지 않은 선택지를 고르시오. ### 참고:nan,또 오해영의 여자주인공 이름은 오해영이다.,또 오해영은 18부작 드라마이다.,또 오해영의 남자주인공과 연애의 발견의 남자주인공은 같은 배우이다.,연애의 발견은 2013년에 방영한 드라마이다.,연애의 발견의 여자주인공 이름은 한여름이다.,d,KGK
다음 중 한국 공공기관에 주로 사용되는 워드 프로세서로 옳은 것은? ### 참고:nan,아래아 한글,마이크로소프트 워드,구글 Docs,Pages,마이크로소프트 파워포인트,a,KGK
다음 중 한국에서 피자 토핑으로 사용되지 않는 것은? ### 참고:nan,감자,고구마,페퍼로니,새우,다음 중 없음,e,KGK
다음 중 수도권 지하철에 없는 역은? ### 참고:nan,잠실,다대포항,공덕,학여울,삼성,b,KGK
다음 중 아직 지하철이 없는 도시는? ### 참고:nan,울산,부산,인천,대구,위 도시는 모두 지하철이 있음,e,KGK
다음 중 서울 2호선으로 갈 수 없는 역은? ### 참고:nan,홍대 입구,신촌,잠실,삼성,공덕,e,KGK
다음 중 서울 2호선으로 갈 수 없는 역은? ### 참고:nan,송파,서초,신도림,신림,봉천,a,KGK
다음 중 서울 2호선으로 갈 수 없는 역은? ### 참고:nan,봉천,서초,잠실,한티,강남,d,KGK
다음 중 서울 3호선으로 갈 수 없는 역은? ### 참고:nan,학여울,대치,교대,압구정,강남,e,KGK
다음 중 서울 3호선으로 갈 수 없는 역은? ### 참고:nan,동대문,경찰병원,경복궁,독립문,대화,a,KGK
다음 중 서울 3호선으로 갈 수 없는 역은? ### 참고:nan,약수,금호,강남,수서,일원,c,KGK
다음 중 존재하지 않는 학교는? ### 참고:nan,대원외고,경북외고,경주외고,대전외고,대구외고,c,KGK
다음 중 존재하지 않는 학교는? ### 참고:nan,휘문고,중동고,보인고,중상고,단대부고,d,KGK
드라마 스카이캐슬의 배경이 되기도 하는 곳으로 한국에서 사교육으로 가장 유명한 지역으로 옳은 것은? ### 참고:nan,분당,대치,강남,교대,목동,b,KGK
다음 중 제주도행 국내 노선을 가장 많이 운행하고 있는 공항은? ### 참고:nan,인천 국제 공항,서울 공항,김포 공항,청주 공항,대구공항,c,KGK
다음 중 국외 노선을 가장 많이 운행하고 있는 공항은? ### 참고:nan,인천 국제 공항,서울 공항,김포 공항,청주 공항,대구공항,a,KGK
다음 중 성격이 다른 공항은? ### 참고:nan,인천 국제 공항,서울 공항,김포 공항,청주 공항,대구공항,b,KGK
다음 중 남한 내륙에서 가장 높은 산은? ### 참고:nan,한라산,지리산,설악산,금강산,백두산,b,KGK
다음 중 유역 면적이 가장 넓은 강은? ### 참고:nan,한강,낙동강,금강,영산강,탄천,a,KGK
한국의 가장 오래된 대학은 어디인가요? ### 참고:nan,고려대학교,서울대학교,연세대학교,성균관대학교,서강대학교,d,KGK
한국에서 가장 높은 건물은? ### 참고:nan,롯데월드타워,코엑스,덕수궁,경복궁,남산서울타워,a,KGK
다음 중 남한의 영토에 포함되지 않는 도는 무엇인가? ### 참고:nan,경상도,전라도,강원도,경기도,함경도,e,KGK
서울 지하철 2호선의 노선 색깔은? ### 참고:nan,초록색,노란색,주황색,붉은색,검정색,a,KGK
서울 지하철 3호선의 노선 색깔은?  ### 참고:nan,초록색,노란색,주황색,붉은색,검정색,c,KGK
다음 중 국내에서 인구 부포가 가장 많은 성씨는? ### 참고:nan,강,송,박,최,손,c,KGK
2002 아시안 게임을 주최한 도시로 옳은 것은? ### 참고:nan,서울,부산,평창,인천,대전,b,KGK
2018 동계 올림픽을 주최한 도시로 옳은 것은? ### 참고:nan,서울,부산,평창,인천,대전,c,KGK
